"Tissue","Gene","Variable","median_TPM","coefficient","p.value","FDR"
"Pancreas","ACE2","AGE",1.469,-1.40644904907168,0.160695738339362,0.293033405207072
"Thyroid","ACE2","SEX",6.35349998300129,-1.26937113983946,0.204870070054184,0.362912695524555
"Heart - Atrial Appendage","ACE2","AGE",5.6344995289773,1.20704475960619,0.228244238932154,0.393087300383154
"Pancreas","ACE2","SEX",1.469,-1.14019729114437,0.255171578946179,0.415460866776285
"Esophagus - Mucosa","ACE2","SEX",2.454,-1.12844243809355,0.259716227418122,0.415460866776285
"Small Intestine - Terminal Ileum","ACE2","AGE",29.7745024330209,1.1167060915636,0.265773540539377,0.415460866776285
"Heart - Left Ventricle","ACE2","AGE",7.93632765737694,-1.09916898110165,0.272412932730649,0.415460866776285
"Thyroid","ACE2","AGE",6.35349998300129,1.09334867898134,0.274740250610124,0.415460866776285
"Kidney - Cortex","TMPRSS2","SEX",30.61,1.06863141212359,0.28924994032174,0.424718315592666
"Artery - Coronary","ACE2","SEX",1.598,1.05106720518865,0.294562702749752,0.424718315592666
"Heart - Atrial Appendage","ACE2","SEX",5.6344995289773,1.00930792896671,0.313536378999573,0.432979075982933
"Esophagus - Mucosa","TMPRSS2","SEX",28.1799999999998,-1.0074179920313,0.314259006761806,0.432979075982933
"Lung","ACE2","SEX",1.012,-0.965571781502366,0.334748802824958,0.451183169024943
"Adipose - Visceral (Omentum)","ACE2","SEX",8.497,-0.854205527177204,0.393461284624218,0.519034035036202
"Colon - Transverse","TMPRSS2","SEX",68.2282659034587,0.839068912149381,0.402003353417334,0.51925433149739
"Kidney - Cortex","ACE2","SEX",7.64700000000001,0.650961156105775,0.517402008014682,0.654671928508373
"Small Intestine - Terminal Ileum","TMPRSS2","AGE",42.6020756386666,0.610932545757288,0.542100470774138,0.672204583759931
"Stomach","TMPRSS2","AGE",114.699827139024,-0.584874087002484,0.559061981691818,0.679643977742994
"Adipose - Visceral (Omentum)","ACE2","AGE",8.497,0.525189947091175,0.59971996292329,0.696948418868175
"Adipose - Subcutaneous","ACE2","AGE",2.325,0.513530734108618,0.607792124275759,0.696948418868175
"Pituitary","TMPRSS2","AGE",1.707,-0.506450266322397,0.613066883530036,0.696948418868175
"Vagina","ACE2","AGE",1.85,0.486168753222745,0.627691997393856,0.696948418868175
"Testis","TMPRSS2","AGE",1.938,0.482924171834544,0.629501797687384,0.696948418868175
"Breast - Mammary Tissue","ACE2","AGE",2.36349907090815,0.369555352412551,0.71192581000104,0.749334648288105
"Kidney - Cortex","ACE2","AGE",7.64700000000001,0.370637468101071,0.712131507254835,0.749334648288105
"Small Intestine - Terminal Ileum","ACE2","SEX",29.7745024330209,-0.36837236469294,0.713076520145132,0.749334648288105
"Minor Salivary Gland","TMPRSS2","SEX",41.7843546170798,0.207935233936596,0.835604942575171,0.86345844066101
"Stomach","TMPRSS2","SEX",114.699827139024,-0.118469399195964,0.905773217415311,0.920621958684415
"Kidney - Cortex","TMPRSS2","AGE",30.61,-0.0469482982053361,0.962700628495912,0.962700628495912
