id	PMID	Year	File	Website	Consortium	Domain	ChapterLevel	SubchapterLevel	Trait	uniqTrait	Population	Ncase	Ncontrol	N	Genome	Nsnps	Nhits	SNPh2	SNPh2_se	SNPh2_z	SNPh2_l	SNPh2_l_se	LambdaGC	Chi2	Intercept	Note	DateAdded	DateLastModified
34	24162737	2013	http://web.pasteur-lille.fr/en/recherche/u744/igap/igap_download.php	http://web.pasteur-lille.fr/en/recherche/u744/igap/igap_download.php	IGAP	Neurological	Diseases of the Nervous System	Alzheimer disease	Alzheimer's disease	Alzheimer disease	EUR	17008	37154	54162	hg19	7055881	13	0.0622	0.0113	5.5044	0.0586	0.0106	1.0926	1.1083	1.0417	Stage 1 summary statistics. The number or risk loci reported in the original study is 20 (from stage 1 and 2 combined GWAS). The combined summary statistics are also available from the same link. Population prevalence: 0.043 (PMID: 23305823, EUR age group 70-74).	2016-11-08	2019-11-08
35	27629369	2017	https://www.med.unc.edu/pgc/results-and-downloads	http://www.med.unc.edu/pgc/	PGC	Psychiatric	Mental Functions	Temperament and Personality Functions	Loneliness (linear)	Loneliness	EUR			7556	hg19	5768558	0	0.1023	0.0583	1.754716981			1.0165	1.0213	1.0064		2017-07-04	2017-07-04
36	27629369	2017	https://www.med.unc.edu/pgc/results-and-downloads	http://www.med.unc.edu/pgc/	PGC	Psychiatric	Mental Functions	Temperament and Personality Functions	Loneliness (multivariate)	Loneliness	EUR			7556	hg19	5768558	0	0.0748	0.0589	1.269949066			1.0075	1.0144	1.0036		2017-07-04	2017-07-04
37	27629369	2017	https://www.med.unc.edu/pgc/results-and-downloads	http://www.med.unc.edu/pgc/	PGC	Psychiatric	Mental Functions	Temperament and Personality Functions	Loneliness (case/control)	Loneliness	EUR			5228	hg19	5768486	0	0.1694	0.0858	1.974358974			1.0195	1.0194	1.0024		2017-07-04	2017-07-04
38	27046643	2016	http://www.psy.ed.ac.uk/ccace/downloads/Davies_MP_2016.zip	http://www.ccace.ed.ac.uk/node/335	CCACE	Cognitive	Mental Functions	Higher-Level Cognitive Functions	Verbal-numerical reasoning	Verbal-numerical reasoning	UKB1 (EUR)			36035	hg19	17361492	2	0.1981	0.0173	11.45086705			1.1491	1.1664	1.0264	UK Biobank cohort. The number of risk loci reported in the original study is 20 (from 4 phenotypes).	2017-07-04	2017-07-04
39	27046643	2016	http://www.psy.ed.ac.uk/ccace/downloads/Davies_MP_2016.zip	http://www.ccace.ed.ac.uk/node/335	CCACE	Cognitive	Mental Functions	Memory Functions	Memory	Memory	UKB1 (EUR)			112067	hg19	17344579	0	0.0431	0.0048	8.979166667			1.0895	1.0926	0.9986	UK Biobank cohort. The number of risk loci reported in the original study is 20 (from 4 phenotypes).	2017-07-04	2017-07-04
40	27046643	2016	http://www.psy.ed.ac.uk/ccace/downloads/Davies_MP_2016.zip	http://www.ccace.ed.ac.uk/node/335	CCACE	Cognitive	Mental Functions	Psychomotor Functions	Reaction time	Reaction time	UKB1 (EUR)			111483	hg19	17344609	2	0.0734	0.0056	13.10714286			1.1428	1.1681	1.0096	UK Biobank cohort. The number of risk loci reported in the original study is 20 (from 4 phenotypes).	2017-07-04	2017-07-04
41	27046643	2016	http://www.psy.ed.ac.uk/ccace/downloads/Davies_MP_2016.zip	http://www.ccace.ed.ac.uk/node/335	CCACE	Environment	Major Life Areas	Education	Educational attainment	Educational attainment	UKB1 (EUR)			111114	hg19	17344347	13	0.1528	0.0075	20.37333333			1.3068	1.3685	1.0342	UK Biobank cohort. The number of risk loci reported in the original study is 20 (from 4 phenotypes).	2017-07-04	2017-07-04
42	27864402	2016	http://www.psy.ed.ac.uk/ccace/downloads/Harris2016_IJE_self_rated_health.zip	http://www.ccace.ed.ac.uk/node/335	CCACE	Activities	Self-Care	Looking After One's Health	Self-rated health	Health rating	UKB1 (EUR)			111749	hg19	17344508	10	0.0973	0.0058	16.77586207			1.1908	1.2247	1.0121	UK Biobank cohort. The number of risk loci reported in the original study is 13.	2017-07-04	2017-07-04
43	27818178	2016	http://www.psy.ed.ac.uk/ccace/downloads/Hill_CB_2016.zip	http://www.ccace.ed.ac.uk/node/335	CCACE	Environment	Major Life Areas	Potential Health Hazards Related to Socioeconomic and Psychosocial Circumstances	Social deprivation	Social deprivation	UKB1 (EUR)			112151	hg19	17344430	0	0.0383	0.0046	8.326086957			1.0957	1.0939	1.0111	UK Biobank cohort. The number of risk loci reported in the original study is 2.	2017-07-04	2017-07-04
44	27818178	2016	http://www.psy.ed.ac.uk/ccace/downloads/Hill_CB_2016.zip	http://www.ccace.ed.ac.uk/node/335	CCACE	Environment	Products and Technology	Assets	Household income	Household income	UKB1 (EUR)			112151	hg19	17344716	2	0.0601	0.0056	10.73214286			1.1459	1.1614	1.0289	UK Biobank cohort. The number of risk loci reported in the original study is 2.	2017-07-04	2017-07-04
45	28194004	2018	http://www.psy.ed.ac.uk/ccace/downloads/Deary2017_Mol_Psych_tiredness.zip	http://www.ccace.ed.ac.uk/node/335	CCACE	Psychiatric	Mental Functions	Temperament and Personality Functions	Self-reported tiredness	Tiredness	UKB1 (EUR)			108976	hg19	17344604	0	0.0655	0.0057	11.49122807			1.1238	1.1384	0.9943	UK Biobank cohort. The number of risk loci reported in the original study is 1.	2017-07-04	2018-10-19
46	28196072	2017	http://www.psy.ed.ac.uk/ccace/downloads/Hagenaars2017_UKB_MPB_summary_results.zip	http://www.ccace.ed.ac.uk/node/335	CCACE	Dermatological	Functions of the Skin and Related Structures	Functions of Hair	Baldness	Baldness	UKB1 (EUR)			52874	hg19	17350499	91	0.2419	0.0211	11.46445498			1.1715	1.2969	1.0506	UK Biobank cohort. The number of risk loci reported in the original study is 250.	2017-07-04	2017-07-04
47	27798627	2016	http://sociogenome.com/material/GWASresults/AgeFirstBirth_Pooled.txt.gz	http://www.thessgac.org/data	SSGAC	Reproduction	Genitourinary and Reproductive Functions	Procreation Functions	Age at first birth	Age at first birth	EUR			251151	hg19	2470766	8	0.0543	0.003	18.1			1.1908	1.2252	0.9568	GWAS summry statistics (sex combined) excluding 23andMe cohort. The number of risk loci reported in the original study is 12 (from two phenotype, Age at first birth and Number of children ever borm).	2017-02-21	2017-02-24
48	27798627	2016	http://sociogenome.com/material/GWASresults/AgeFirstBirth_Female.txt.gz	http://www.thessgac.org/data	SSGAC	Reproduction	Genitourinary and Reproductive Functions	Procreation Functions	Age at first birth (female)	Age at first birth	EUR			225230	hg19	2470136	5	0.0435	0.0031	14.03225806			1.1396	1.1651	0.9728	GWAS summry statistics (only female) excluding 23andMe cohort. The number of risk loci reported in the original study is 12 (from two phenotype, Age at first birth and Number of children ever borm).	2017-02-21	2017-02-21
49	27798627	2016	http://sociogenome.com/material/GWASresults/AgeFirstBirth_Male.txt.gz	http://www.thessgac.org/data	SSGAC	Reproduction	Genitourinary and Reproductive Functions	Procreation Functions	Age at first birth (male)	Age at first birth	EUR			48408	hg19	2465140	0	0.1139	0.0101	11.27722772			1.0466	1.0488	0.9425	GWAS summry statistics (only male) excluding 23andMe cohort. The number of risk loci reported in the original study is 12 (from two phenotype, Age at first birth and Number of children ever borm).	2017-02-21	2017-02-21
50	27798627	2016	http://sociogenome.com/material/GWASresults/NumberChildrenEverBorn_Pooled.txt.gz	http://www.thessgac.org/data	SSGAC	Reproduction	Genitourinary and Reproductive Functions	Procreation Functions	Number of children ever born	Number of children ever born	EUR			343072	hg19	2474037	0	0.0244	0.0017	14.35294118			1.1082	1.1293	0.9669	GWAS summry statistics (sex combined) excluding 23andMe cohort. The number of risk loci reported in the original study is 12 (from two phenotype, Age at first birth and Number of children ever borm).	2017-02-21	2017-02-24
51	27798627	2016	http://sociogenome.com/material/GWASresults/NumberChildrenEverBorn_Female.txt.gz	http://www.thessgac.org/data	SSGAC	Reproduction	Genitourinary and Reproductive Functions	Procreation Functions	Number of children ever born (female)	Number of children ever born	EUR			225230	hg19	2471862	0	0.0228	0.0022	10.36363636			1.0588	1.0716	0.972	GWAS summry statistics (only female) excluding 23andMe cohort. The number of risk loci reported in the original study is 12 (from two phenotype, Age at first birth and Number of children ever borm).	2017-07-04	2017-07-04
52	27798627	2016	http://sociogenome.com/material/GWASresults/NumberChildrenEverBorn_Male.txt.gz	http://www.thessgac.org/data	SSGAC	Reproduction	Genitourinary and Reproductive Functions	Procreation Functions	Number of children ever born (male)	Number of children ever born	EUR			103909	hg19	2470443	1	0.0346	0.0049	7.06122449			1.0405	1.041	0.9713	GWAS summry statistics (only male) excluding 23andMe cohort. The number of risk loci reported in the original study is 12 (from two phenotype, Age at first birth and Number of children ever borm).	2017-07-04	2017-07-04
53	27225129	2016	http://ssgac.org/documents/EduYears_Main.txt.gz	http://ssgac.org	SSGAC	Environment	Major Life Areas	Education	Educational attainment	Educational attainment	EUR			328917	hg19	8146840	78	0.1105	0.0036	30.69444444			1.4745	1.6398	0.9378	Discovery and Replication combined (except 23andMe). The number of risk loci reported in the original study is 74.	2016-11-08	2017-02-07
54	27089181	2016	http://ssgac.org/documents/SWB_Full.txt.gz	http://ssgac.org	SSGAC	Psychiatric	Mental Functions	Temperament and Personality Functions	Subjective well being	Subjective well being	EUR			298420	hg19	2268674	1	0.0251	0.002	12.55			1.1301	1.1525	1.0011	Discovery and Replication combined (except 23andMe). The number of risk loci reported in the original study is 3.	2016-11-08	2017-02-27
55	27089181	2016	http://ssgac.org/documents/Neuroticism_Full.txt.gz	http://ssgac.org	SSGAC	Psychiatric	Mental Functions	Temperament and Personality Functions	Neuroticism	Neuroticism	EUR			170911	hg19	6524432	10	0.088	0.0067	13.13432836			1.2365	1.3073	0.9934	The number of risk loci reported in the original study is 11.	2016-11-22	2017-02-07
56	27089181	2016	http://ssgac.org/documents/DS_Full.txt.gz	http://ssgac.org	SSGAC	Psychiatric	Mental and Behavioural Disorders	Depressive Episode	Depressive symptoms	Depressive symptoms	EUR			161460	hg19	6524474	2	0.0475	0.0037	12.83783784			1.1333	1.1536	0.9998	The number of risk loci reported in the original study is 2.	2016-11-22	2017-02-07
57	23722424	2013	http://ssgac.org/documents/SSGAC_Rietveld2013.zip	http://ssgac.org	SSGAC	Environment	Major Life Areas	Education	Educational attainment	Educational attainment	EUR			101069	rsID	2309264	4	0.1053	0.0079	13.32911392			1.1973	1.232	1.0196	Discovery phase. The number of risk loci reported in the original study is 3.	2017-07-04	2017-07-04
58	23722424	2013	http://ssgac.org/documents/SSGAC_Rietveld2013.zip	http://ssgac.org	SSGAC	Environment	Major Life Areas	Education	College completion	College completion	EUR			95427	rsID	2320674	3	0.105	0.0076	13.81578947			1.194	1.2227	1.0215	Discovery phase. The number of risk loci reported in the original study is 2.	2017-07-04	2017-07-04
59	23358156	2014	http://ssgac.org/documents/CHIC_Summary_Benyamin2014.txt.gz	http://ssgac.org	SSGAC	Cognitive	Mental Functions	Higher-Level Cognitive Functions	Childhood IQ	Childhood IQ	EUR			12441	hg17	1380038	0	0.2744	0.0452	6.07079646			1.0679	1.0754	1.0019		2016-11-08	2017-02-07
60	25201988	2014	http://ssgac.org/documents/MA_EA_1st_stage.txt.gz	http://ssgac.org	SSGAC	Environment	Major Life Areas	Education	Educational attainment	Educational attainment	EUR			106736	rsID	2281195	4	0.1065	0.0074	14.39189189			1.2136	1.2555	1.0274	Stage 1 summary statistics. The number of risk loci reported in the original study is 69.	2017-07-04	2017-07-04
61	25231870	2014	http://www.reprogen.org/Menarche_Nature2014_GWASMetaResults_17122014.zip	http://www.reprogen.org	ReproGen	Reproduction	Genitourinary and Reproductive Functions	Menstruation Functions	Age at menarche	Age at menarche	EUR			132989	rsID	2440622	72	0.1568	0.0071	22.08450704			1.2531	1.394	0.9812	Excluding iCOGs samples. The number of risk loci reported in the original studt is 106.	2017-02-05	2017-02-07
62	26414677	2015	http://www.reprogen.org/Menopause_HapMap2_DayNG2015_18112015.txt.gz	http://www.reprogen.org	ReproGen	Reproduction	Genitourinary and Reproductive Functions	Menstruation Functions	Age at menopause	Age at menopause	EUR			69360	rsID	2417691	47	0.1269	0.0133	9.541353383			1.0957	1.1675	0.9921		2017-02-05	2017-02-07
63	28436984	2017	http://www.reprogen.org/Menarche_1KG_NatGen2017_WebsiteUpload.zip	http://www.reprogen.org	ReproGen	Reproduction	Genitourinary and Reproductive Functions	Menstruation Functions	Age at menarche	Age at menarche	EUR			252514	hg19	11411775	254	0.1836	0.0063	29.14285714			1.6108	1.9716	1.0549	Meta GWAS summary statistics excluding 23andMe cohort. The number of risk loci reported in the original study is 389.	2017-07-04	2017-07-04
64	27416945	2016	ftp://ftp.sanger.ac.uk/pub/magic/MAGIC_ISI_Model_1_AgeSexOnly.txt	https://www.magicinvestigators.org	MAGIC	Endocrine	Endocrine, Nutritional and Metabolic Diseases	Type 2 Diabetes Mellitus	Insulin sensitivity index (adjusted for age, sex)	Insulin sensitivity index	EUR			16753	hg18	2423203	0	0.1001	0.0287	3.487804878			1.0165	1.021	0.9883	Discovery phase.	2017-02-05	2017-02-07
